ID_IGR,ID_GENUS,IGR,INTERCEPT
1,Avg_Tricop_IGR,0.030644958,-1.160505577
1,Avg_Tricop_IGR,0.022005851,-0.972331123
1,Avg_Tricop_IGR,0.026375818,-0.989814389
1,Avg_Tricop_IGR,0.025728115,-0.991633685
1,Avg_Tricop_IGR,0.023952909,-0.993298885
1,Avg_Tricop_IGR,0.029914222,-1.111958185
1,Avg_Tricop_IGR,0.024184765,-1.061958306
1,Avg_Tricop_IGR,0.025411544,-1.037282577
1,Avg_Tricop_IGR,0.024074114,-0.868198383
1,Avg_Tricop_IGR,0.026927303,-0.95456395
1,Avg_Tricop_IGR,0.029126978,-1.096707745
1,Avg_Tricop_IGR,0.021422659,-0.926504494
1,Avg_Tricop_IGR,0.02383036,-0.919720768
1,Avg_Tricop_IGR,0.029594145,-1.209805573
1,Avg_Tricop_IGR,0.029185617,-1.080759577
1,Avg_Tricop_IGR,0.020802578,-0.935545549
1,Avg_Tricop_IGR,0.028256541,-1.07032067
1,Avg_Tricop_IGR,0.024922403,-1.02248169
1,Avg_Tricop_IGR,0.02558276,-1.021791794
1,Avg_Tricop_IGR,0.022568726,-1.019949092
1,Avg_Tricop_IGR,0.02269665,-0.981856536
1,Avg_Tricop_IGR,0.01710158,-0.844179023
1,Avg_Tricop_IGR,0.016818062,-0.816127633
1,Avg_Tricop_IGR,0.028571066,-1.045098956
1,Avg_Tricop_IGR,0.023619962,-0.851939843
1,Avg_Tricop_IGR,0.028240995,-1.150695054
1,Avg_Tricop_IGR,0.028804056,-0.996964328
1,Avg_Tricop_IGR,0.027832943,-1.106680123
1,Avg_Tricop_IGR,0.025562908,-0.998540704
1,Avg_Tricop_IGR,0.020805607,-0.97071796
1,Avg_Tricop_IGR,0.026744211,-0.922322546
1,Avg_Tricop_IGR,0.017815521,-0.826865764
1,Avg_Tricop_IGR,0.028790498,-1.042782751
1,Avg_Tricop_IGR,0.026695521,-0.986313754
1,Avg_Tricop_IGR,0.024267416,-1.067697229
1,Avg_Tricop_IGR,0.035270122,-1.349806766
1,Avg_Tricop_IGR,0.028099451,-0.955734798
1,Avg_Tricop_IGR,0.025289258,-1.031326852
1,Avg_Tricop_IGR,0.018636075,-0.859614302
1,Avg_Tricop_IGR,0.029908114,-1.201842162
1,Avg_Tricop_IGR,0.035671758,-1.071339659
1,Avg_Tricop_IGR,0.017356789,-0.879939073
1,Avg_Tricop_IGR,0.024867211,-0.953900904
1,Avg_Tricop_IGR,0.027599026,-1.157926757
1,Avg_Tricop_IGR,0.022036232,-0.895347441
1,Avg_Tricop_IGR,0.022578491,-0.921634769
1,Avg_Tricop_IGR,0.027760256,-0.933372433
1,Avg_Tricop_IGR,0.015956314,-0.795950753
1,Avg_Tricop_IGR,0.026246549,-1.046441028
1,Avg_Tricop_IGR,0.028638069,-1.071101098
1,Avg_Tricop_IGR,0.021785692,-0.90785277
1,Avg_Tricop_IGR,0.024774992,-1.033549889
1,Avg_Tricop_IGR,0.023772794,-0.97356487
1,Avg_Tricop_IGR,0.029127533,-1.072372227
1,Avg_Tricop_IGR,0.032845569,-1.166400166
1,Avg_Tricop_IGR,0.024156216,-1.005845913
1,Avg_Tricop_IGR,0.030537585,-1.010494373
1,Avg_Tricop_IGR,0.017047968,-0.80095033
1,Avg_Tricop_IGR,0.024493909,-1.030473875
1,Avg_Tricop_IGR,0.020916177,-0.855174432
1,Avg_Tricop_IGR,0.023474636,-0.898901285
1,Avg_Tricop_IGR,0.027264584,-0.965225075
1,Avg_Tricop_IGR,0.020214254,-0.896244262
1,Avg_Tricop_IGR,0.025839284,-1.054869758
1,Avg_Tricop_IGR,0.023265718,-0.944024205
1,Avg_Tricop_IGR,0.025636717,-1.103458357
1,Avg_Tricop_IGR,0.018172193,-0.881492357
1,Avg_Tricop_IGR,0.026839044,-0.948137662
1,Avg_Tricop_IGR,0.02168059,-0.94896413
1,Avg_Tricop_IGR,0.020677997,-0.922032251
1,Avg_Tricop_IGR,0.039188967,-1.308300463
1,Avg_Tricop_IGR,0.025855358,-0.988894499
1,Avg_Tricop_IGR,0.035664902,-1.271682765
1,Avg_Tricop_IGR,0.021134089,-0.850684187
1,Avg_Tricop_IGR,0.017274411,-0.866702254
1,Avg_Tricop_IGR,0.022834453,-0.82227332
1,Avg_Tricop_IGR,0.021075226,-0.885696792
1,Avg_Tricop_IGR,0.028599827,-1.099898545
1,Avg_Tricop_IGR,0.024373438,-1.008152553
1,Avg_Tricop_IGR,0.027405368,-1.080130434
1,Avg_Tricop_IGR,0.018454222,-0.857519606
1,Avg_Tricop_IGR,0.020823678,-0.864264957
1,Avg_Tricop_IGR,0.026338726,-0.974555586
1,Avg_Tricop_IGR,0.035246696,-1.101115455
1,Avg_Tricop_IGR,0.016245434,-0.834508708
1,Avg_Tricop_IGR,0.029139132,-1.004293186
1,Avg_Tricop_IGR,0.028657467,-1.129217233
1,Avg_Tricop_IGR,0.029029985,-1.025480523
1,Avg_Tricop_IGR,0.025150478,-1.097901206
1,Avg_Tricop_IGR,0.025069717,-1.005714366
1,Avg_Tricop_IGR,0.018877763,-0.882150588
1,Avg_Tricop_IGR,0.028444069,-0.980160714
1,Avg_Tricop_IGR,0.034212305,-1.180617564
1,Avg_Tricop_IGR,0.025605804,-0.928404696
1,Avg_Tricop_IGR,0.022186703,-0.803253901
1,Avg_Tricop_IGR,0.030155451,-1.189061204
1,Avg_Tricop_IGR,0.02355859,-1.000415471
1,Avg_Tricop_IGR,0.021928417,-0.956810143
1,Avg_Tricop_IGR,0.033521066,-1.076562418
1,Avg_Tricop_IGR,0.02274612,-0.979216279
1,Avg_Tricop_IGR,0.025618953,-0.951894549
1,Avg_Tricop_IGR,0.022142676,-1.013348593
1,Avg_Tricop_IGR,0.028702225,-1.03350255
1,Avg_Tricop_IGR,0.034241826,-1.246805316
1,Avg_Tricop_IGR,0.034646673,-1.153745728
1,Avg_Tricop_IGR,0.030784672,-1.018274112
1,Avg_Tricop_IGR,0.030257881,-1.181898868
1,Avg_Tricop_IGR,0.031209503,-1.157488052
1,Avg_Tricop_IGR,0.022840966,-0.846606264
1,Avg_Tricop_IGR,0.017608822,-0.780302033
1,Avg_Tricop_IGR,0.02557514,-0.97597665
1,Avg_Tricop_IGR,0.026312223,-1.051197323
1,Avg_Tricop_IGR,0.029517029,-1.085919879
1,Avg_Tricop_IGR,0.021834748,-0.906356431
1,Avg_Tricop_IGR,0.02529048,-1.028265393
1,Avg_Tricop_IGR,0.034537598,-1.344387218
1,Avg_Tricop_IGR,0.024321476,-1.057572698
1,Avg_Tricop_IGR,0.023940199,-0.950320637
1,Avg_Tricop_IGR,0.022083904,-0.914368043
1,Avg_Tricop_IGR,0.02842701,-1.143402843
1,Avg_Tricop_IGR,0.019604915,-0.844621266
1,Avg_Tricop_IGR,0.029522907,-0.956422008
1,Avg_Tricop_IGR,0.019078352,-0.965597075
1,Avg_Tricop_IGR,0.026967358,-1.101309593
1,Avg_Tricop_IGR,0.026647761,-1.007118963
1,Avg_Tricop_IGR,0.023155102,-0.94080412
1,Avg_Tricop_IGR,0.021097479,-1.020041977
1,Avg_Tricop_IGR,0.02405647,-1.026853448
1,Avg_Tricop_IGR,0.03620507,-1.213682667
1,Avg_Tricop_IGR,0.02514131,-0.997846291
1,Avg_Tricop_IGR,0.025570287,-0.963745014
1,Avg_Tricop_IGR,0.024246487,-1.055855149
1,Avg_Tricop_IGR,0.020288414,-0.85624111
1,Avg_Tricop_IGR,0.031515262,-1.205953991
1,Avg_Tricop_IGR,0.027202544,-1.069844842
1,Avg_Tricop_IGR,0.027441109,-0.904567924
1,Avg_Tricop_IGR,0.016306751,-0.807815165
1,Avg_Tricop_IGR,0.026089739,-1.069765764
1,Avg_Tricop_IGR,0.027236172,-1.075690867
1,Avg_Tricop_IGR,0.024186736,-1.047389284
1,Avg_Tricop_IGR,0.035691195,-1.182682374
1,Avg_Tricop_IGR,0.030393279,-1.144501444
1,Avg_Tricop_IGR,0.026069709,-0.910656765
1,Avg_Tricop_IGR,0.02861883,-1.13332382
1,Avg_Tricop_IGR,0.029085787,-1.095693904
1,Avg_Tricop_IGR,0.023703288,-0.99637759
1,Avg_Tricop_IGR,0.021275534,-0.947438737
1,Avg_Tricop_IGR,0.028808727,-1.086499849
1,Avg_Tricop_IGR,0.029552659,-1.086815442
1,Avg_Tricop_IGR,0.01964026,-0.898014132
1,Avg_Tricop_IGR,0.02490947,-1.040003707
1,Avg_Tricop_IGR,0.030273591,-1.192009592
1,Avg_Tricop_IGR,0.031374123,-0.984692891
1,Avg_Tricop_IGR,0.042930899,-1.339770811
1,Avg_Tricop_IGR,0.036044459,-1.07535494
1,Avg_Tricop_IGR,0.027662675,-1.091083486
1,Avg_Tricop_IGR,0.023926059,-1.080315723
1,Avg_Tricop_IGR,0.018926905,-0.867104854
1,Avg_Tricop_IGR,0.019120657,-0.798623761
1,Avg_Tricop_IGR,0.032293832,-1.253608171
1,Avg_Tricop_IGR,0.017819388,-0.823099876
1,Avg_Tricop_IGR,0.017677814,-0.836532383
1,Avg_Tricop_IGR,0.028736238,-1.187159566
1,Avg_Tricop_IGR,0.025443796,-1.033269152
1,Avg_Tricop_IGR,0.023960839,-0.993350172
1,Avg_Tricop_IGR,0.018569252,-0.839089241
1,Avg_Tricop_IGR,0.026910904,-1.032867575
1,Avg_Tricop_IGR,0.025674719,-1.035411555
1,Avg_Tricop_IGR,0.029555776,-1.033490684
1,Avg_Tricop_IGR,0.022917771,-0.839118362
1,Avg_Tricop_IGR,0.036868286,-1.152984896
1,Avg_Tricop_IGR,0.017785004,-0.894393934
1,Avg_Tricop_IGR,0.025332164,-1.074421884
1,Avg_Tricop_IGR,0.027463326,-1.137887144
1,Avg_Tricop_IGR,0.024535636,-1.015346146
1,Avg_Tricop_IGR,0.033192316,-1.184467362
1,Avg_Tricop_IGR,0.030972171,-1.197441083
1,Avg_Tricop_IGR,0.029541666,-1.178431693
1,Avg_Tricop_IGR,0.022322987,-0.901148857
1,Avg_Tricop_IGR,0.036271744,-1.376396933
1,Avg_Tricop_IGR,0.02892348,-0.977450937
1,Avg_Tricop_IGR,0.037542405,-1.208898395
1,Avg_Tricop_IGR,0.034726287,-1.163997478
1,Avg_Tricop_IGR,0.027524896,-1.172644388
1,Avg_Tricop_IGR,0.019331506,-0.891821648
1,Avg_Tricop_IGR,0.027840034,-1.005031684
1,Avg_Tricop_IGR,0.027146679,-1.019032412
1,Avg_Tricop_IGR,0.036862095,-1.216111882
1,Avg_Tricop_IGR,0.020494776,-0.898757138
