Supplemental table S4,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Diptera,Psychodidae,Pericoma,Glacier Creek,Riffle,mg dry mass m-2,0.09,0.28,< 0.01
Diptera,Simulidae,Simulidae group,Glacier Creek,Riffle,mg dry mass m-2,1.31,3.82,< 0.01
Diptera,Tanypodinae,Tanypodinae group,Glacier Creek,Riffle,mg dry mass m-2,1.16,2.61,< 0.01
Diptera,Tanypodinae,Theinemannimyia complex,Glacier Creek,Riffle,mg dry mass m-2,140.45,192.2,95.77
Diptera,Tipulidae,Tipulidae group,Glacier Creek,Riffle,mg dry mass m-2,11.52,25.96,1.34
Ephemeroptera,Ameletidae,Ameletus,Glacier Creek,Riffle,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Ephemeroptera,Baetidae,Baetis,Glacier Creek,Riffle,mg dry mass m-2,67.84,115.46,34.01
Ephemeroptera,Ephemerellidae,Drunella,Glacier Creek,Riffle,mg dry mass m-2,40.21,84.25,5.36
Ephemeroptera,N/A,Ephemeroptera group,Glacier Creek,Riffle,mg dry mass m-2,158.2,205.69,112.28
Mollusca,Sphaeriidae,Sphaeriidae,Glacier Creek,Riffle,mg dry mass m-2,2.18,3.33,1.12
Oligochaeta,N/A,Oligochaeta,Glacier Creek,Riffle,mg dry mass m-2,35.09,63.48,12.2
Ostracoda,N/A,Ostracoda,Glacier Creek,Riffle,mg dry mass m-2,5.68,13.19,0.94
Plecoptera,Chloroperlidae,Suwallia,Glacier Creek,Riffle,mg dry mass m-2,51.78,76.46,25.59
Plecoptera,Chloroperlidae,Swelsta,Glacier Creek,Riffle,mg dry mass m-2,52.62,79.76,28.23
Plecoptera,N/A,Plecoptera group,Glacier Creek,Riffle,mg dry mass m-2,498.84,951.49,110.17
Plecoptera,Nemouridae,Zapada,Glacier Creek,Riffle,mg dry mass m-2,6.3,11.42,1.29
Tricoptera,Hydropsychidae,Arctopsyche,Glacier Creek,Riffle,mg dry mass m-2,169.82,285.67,54.67
Tricoptera,N/A,Tricoptera group,Glacier Creek,Riffle,mg dry mass m-2,9.67,18.33,3.08
Tricoptera,Rhyacophilidae,Rhyacophila,Glacier Creek,Riffle,mg dry mass m-2,48.81,65.23,32.95
Coleoptera,Elmidae,Heterlimnius,Glacier Creek,Wood,mg dry mass m-2,1.77,3.65,0.29
Diptera,Ceratopogonidae,Ceratopogonidae,Glacier Creek,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Chironomidae,Chironomidae group 1,Glacier Creek,Wood,mg dry mass m-2,3.28,5.47,1.27
Diptera,Chironominae,Chironominae group,Glacier Creek,Wood,mg dry mass m-2,1.66,3.93,0.18
Diptera,Chironominae,Paratendipes,Glacier Creek,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
