Supplemental table S4,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Tricoptera,Brachycentridae,Micrasema,North St. Vrain high,Riffle,mg dry mass m-2,0.76,1.63,0.09
Tricoptera,Glossosomatidae,Glossosoma,North St. Vrain high,Riffle,mg dry mass m-2,5.41,11.05,1
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain high,Riffle,mg dry mass m-2,39.32,71.96,7.46
Tricoptera,N/A,Tricoptera group,North St. Vrain high,Riffle,mg dry mass m-2,1.37,2.41,0.48
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain high,Riffle,mg dry mass m-2,14.72,25.46,5.28
Arachnida ,N/A,Arachnida ,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain high,Wood,mg dry mass m-2,0.92,2.4,0.1
Diptera,Chironominae,Chironominae group,North St. Vrain high,Wood,mg dry mass m-2,0.07,0.17,0.01
Diptera,Chironominae,Polypedilum,North St. Vrain high,Wood,mg dry mass m-2,0.57,1.28,0.02
Diptera,Chironominae,Stempellinella,North St. Vrain high,Wood,mg dry mass m-2,0.12,0.33,< 0.01
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain high,Wood,mg dry mass m-2,0.58,1.64,< 0.01
Diptera,Empidiae,Chelifera,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,N/A,Diamesinae/Prodiamesinae group,North St. Vrain high,Wood,mg dry mass m-2,7.21,14.64,1.86
Diptera,N/A,Dixidae/Sciaridae group,North St. Vrain high,Wood,mg dry mass m-2,0.01,0.04,< 0.01
Diptera,Orthocladinae,Brillia,North St. Vrain high,Wood,mg dry mass m-2,13.84,25.2,3.19
Diptera,Orthocladinae,Corynoneura,North St. Vrain high,Wood,mg dry mass m-2,3.01,5.43,0.81
Diptera,Orthocladinae,Eukiefferiella,North St. Vrain high,Wood,mg dry mass m-2,11.73,20.55,4.13
Diptera,Orthocladinae,Heleniella,North St. Vrain high,Wood,mg dry mass m-2,0.02,0.05,< 0.01
Diptera,Orthocladinae,Heterotrissocladius,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain high,Wood,mg dry mass m-2,0.62,1.28,0.1
Diptera,Orthocladinae,Krenosmittia,North St. Vrain high,Wood,mg dry mass m-2,0.01,0.04,< 0.01
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain high,Wood,mg dry mass m-2,20.85,28.59,14.3
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Paraorthocladius,North St. Vrain high,Wood,mg dry mass m-2,0.7,1.57,0.05
Diptera,Simulidae,Simulidae group,North St. Vrain high,Wood,mg dry mass m-2,0.02,0.05,< 0.01
Diptera,Tanypodinae,Macropelopia,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain high,Wood,mg dry mass m-2,0.41,1.19,< 0.01
Diptera,Tipulidae,Dicranota,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Ephemeroptera,Baetidae,Baetis,North St. Vrain high,Wood,mg dry mass m-2,16.13,24.63,8.4
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain high,Wood,mg dry mass m-2,8.48,20.62,0.7
Ephemeroptera,Heptageniidae,Cinygmula,North St. Vrain high,Wood,mg dry mass m-2,4.98,14.24,< 0.01
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain high,Wood,mg dry mass m-2,0.7,1.35,0.08
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain high,Wood,mg dry mass m-2,0.09,0.26,< 0.01
Oligochaeta,N/A,Oligochaeta,North St. Vrain high,Wood,mg dry mass m-2,0.11,0.24,< 0.01
Ostracoda,N/A,Ostracoda,North St. Vrain high,Wood,mg dry mass m-2,0.03,0.11,< 0.01
Plecoptera,Capniidae,Utacapnia,North St. Vrain high,Wood,mg dry mass m-2,0.09,0.26,< 0.01
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain high,Wood,mg dry mass m-2,0.52,1.24,< 0.01
Plecoptera,Leuctridae,Perlomyia,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Plecoptera,N/A,Plecoptera group,North St. Vrain high,Wood,mg dry mass m-2,2.88,6.27,0.71
Plecoptera,Nemouridae,Zapada,North St. Vrain high,Wood,mg dry mass m-2,34.77,43.59,25.61
Plecoptera,Perlidae,Hersperoperla,North St. Vrain high,Wood,mg dry mass m-2,2.99,7.21,0.02
Tricoptera,Brachycentridae,Micrasema,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Tricoptera,Glossosomatidae,Glossosoma,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain high,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Tricoptera,N/A,Tricoptera group,North St. Vrain high,Wood,mg dry mass m-2,0.33,0.97,< 0.01
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain high,Wood,mg dry mass m-2,31.82,53.39,12.88
Arachnida ,N/A,Arachnida ,North St. Vrain low,Pool,mg dry mass m-2,0.05,0.08,0.03
Coleoptera,Elmidae,Heterlimnius,North St. Vrain low,Pool,mg dry mass m-2,108.47,178.87,52.35
Coleoptera,N/A,Coleoptera group,North St. Vrain low,Pool,mg dry mass m-2,7.57,21.4,< 0.01
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain low,Pool,mg dry mass m-2,0.62,1.57,0.04
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain low,Pool,mg dry mass m-2,24.76,61.21,4.38
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain low,Pool,mg dry mass m-2,17.09,26.7,8.59
Diptera,Chironominae,Chironominae group,North St. Vrain low,Pool,mg dry mass m-2,173.02,239.62,105.43
Diptera,Diamesinae,Pagastia,North St. Vrain low,Pool,mg dry mass m-2,96.34,185.57,29.87
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain low,Pool,mg dry mass m-2,67.35,102.76,31.86
Diptera,Empidiae,Chelifera,North St. Vrain low,Pool,mg dry mass m-2,56.02,96.95,28.38
Diptera,Empidiae,Empididae group,North St. Vrain low,Pool,mg dry mass m-2,3.28,6.81,< 0.01
Diptera,Orthocladinae,Brillia,North St. Vrain low,Pool,mg dry mass m-2,176.55,294.94,78.5
Diptera,Orthocladinae,Complex II,North St. Vrain low,Pool,mg dry mass m-2,1.55,3.4,0.19
Diptera,Orthocladinae,Heleniella,North St. Vrain low,Pool,mg dry mass m-2,94.41,133.58,50.48
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain low,Pool,mg dry mass m-2,87.72,150.9,38.56
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain low,Pool,mg dry mass m-2,337.72,415.9,263.44
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain low,Pool,mg dry mass m-2,63.18,113.91,30.43
Diptera,Orthocladinae,Tvetenia,North St. Vrain low,Pool,mg dry mass m-2,32.54,71.87,7.44
Diptera,Simulidae,Simulidae group,North St. Vrain low,Pool,mg dry mass m-2,0.57,1.74,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain low,Pool,mg dry mass m-2,21.22,36.52,8.23
Diptera,Tanypodinae,Theinemannimyia complex,North St. Vrain low,Pool,mg dry mass m-2,34.35,65.14,10.1
Diptera,Tipulidae,Dicranota,North St. Vrain low,Pool,mg dry mass m-2,74.76,105.08,46.87
Diptera,Tipulidae,Tipulidae group,North St. Vrain low,Pool,mg dry mass m-2,91.19,163.6,26.17
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain low,Pool,mg dry mass m-2,7.01,13.92,1.22
Ephemeroptera,Baetidae,Baetis,North St. Vrain low,Pool,mg dry mass m-2,29.17,55.58,7.19
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain low,Pool,mg dry mass m-2,13.6,36.35,< 0.01
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain low,Pool,mg dry mass m-2,8.71,16.72,2.16
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain low,Pool,mg dry mass m-2,27.62,49.97,9.98
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain low,Pool,mg dry mass m-2,18.84,30.94,8.05
Oligochaeta,N/A,Oligochaeta,North St. Vrain low,Pool,mg dry mass m-2,206.22,420.93,45.92
Ostracoda,N/A,Ostracoda,North St. Vrain low,Pool,mg dry mass m-2,207.72,380.36,94.7
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain low,Pool,mg dry mass m-2,521.59,765.42,309.71
Plecoptera,Leuctridae,Perlomyia,North St. Vrain low,Pool,mg dry mass m-2,0.54,1.1,< 0.01
Plecoptera,N/A,Plecoptera group,North St. Vrain low,Pool,mg dry mass m-2,98.14,145.81,53.79
Plecoptera,Nemouridae,Zapada,North St. Vrain low,Pool,mg dry mass m-2,26.4,60.38,2.57
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain low,Pool,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Tricoptera,N/A,Tricoptera group,North St. Vrain low,Pool,mg dry mass m-2,144.06,197.72,72.7
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain low,Pool,mg dry mass m-2,68.88,117.34,25.43
Arachnida ,N/A,Arachnida ,North St. Vrain low,Riffle,mg dry mass m-2,< 0.01,0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain low,Riffle,mg dry mass m-2,32.41,44.02,21.23
Coleoptera,N/A,Coleoptera group,North St. Vrain low,Riffle,mg dry mass m-2,2.06,5.54,0.18
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain low,Riffle,mg dry mass m-2,0.1,0.15,0.04
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain low,Riffle,mg dry mass m-2,4.71,8.23,1.73
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain low,Riffle,mg dry mass m-2,3.47,5.58,1.44
Diptera,Chironominae,Chironominae group,North St. Vrain low,Riffle,mg dry mass m-2,17.2,22.62,11.47
Diptera,Diamesinae,Diamesinae group,North St. Vrain low,Riffle,mg dry mass m-2,0.18,0.52,< 0.01
Diptera,Diamesinae,Pagastia,North St. Vrain low,Riffle,mg dry mass m-2,23.63,30.49,16.89
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain low,Riffle,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Empidiae,Chelifera,North St. Vrain low,Riffle,mg dry mass m-2,7.39,13.08,3
Diptera,Empidiae,Empididae group,North St. Vrain low,Riffle,mg dry mass m-2,3.75,8.6,0.42
Diptera,Orthocladinae,Brillia,North St. Vrain low,Riffle,mg dry mass m-2,11.98,21.72,3.14
Diptera,Orthocladinae,Complex II,North St. Vrain low,Riffle,mg dry mass m-2,2.01,4.28,0.2
Diptera,Orthocladinae,Heleniella,North St. Vrain low,Riffle,mg dry mass m-2,27.69,40.96,14.88
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain low,Riffle,mg dry mass m-2,2.08,5.25,0.06
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain low,Riffle,mg dry mass m-2,84.33,126.6,44.36
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain low,Riffle,mg dry mass m-2,4.59,7.94,1.25
Diptera,Orthocladinae,Tvetenia,North St. Vrain low,Riffle,mg dry mass m-2,19.26,34.98,7.48
Diptera,Simulidae,Simulidae group,North St. Vrain low,Riffle,mg dry mass m-2,0.8,2.55,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain low,Riffle,mg dry mass m-2,0.18,0.45,< 0.01
Diptera,Tanypodinae,Theinemannimyia complex,North St. Vrain low,Riffle,mg dry mass m-2,0.74,1.28,0.27
Diptera,Tipulidae,Dicranota,North St. Vrain low,Riffle,mg dry mass m-2,16.63,22.31,11.33
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain low,Riffle,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Ephemeroptera,Baetidae,Baetis,North St. Vrain low,Riffle,mg dry mass m-2,114.31,172.1,67.97
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain low,Riffle,mg dry mass m-2,13.58,24.01,4.55
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain low,Riffle,mg dry mass m-2,92.26,136.8,51.24
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain low,Riffle,mg dry mass m-2,25.65,51.52,6.02
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain low,Riffle,mg dry mass m-2,0.74,1.59,0.08
Oligochaeta,N/A,Oligochaeta,North St. Vrain low,Riffle,mg dry mass m-2,2.89,5.99,0.83
Ostracoda,N/A,Ostracoda,North St. Vrain low,Riffle,mg dry mass m-2,4.15,7.11,2.13
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain low,Riffle,mg dry mass m-2,198.48,309.01,117.06
Plecoptera,Leuctridae,Perlomyia,North St. Vrain low,Riffle,mg dry mass m-2,47.5,85.52,16.2
Plecoptera,N/A,Plecoptera group,North St. Vrain low,Riffle,mg dry mass m-2,219.79,431.74,82.75
Plecoptera,Nemouridae,Zapada,North St. Vrain low,Riffle,mg dry mass m-2,5.99,8.63,3.08
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain low,Riffle,mg dry mass m-2,113.37,204.01,39.76
Tricoptera,N/A,Tricoptera group,North St. Vrain low,Riffle,mg dry mass m-2,3.42,6.72,0.98
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain low,Riffle,mg dry mass m-2,41.04,70.74,18.27
Arachnida ,N/A,Arachnida ,North St. Vrain low,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain low,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain low,Wood,mg dry mass m-2,0.06,0.16,< 0.01
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain low,Wood,mg dry mass m-2,0.57,0.96,0.18
Diptera,Chironominae,Chironominae group,North St. Vrain low,Wood,mg dry mass m-2,0.4,0.8,0.09
Diptera,Diamesinae,Diamesinae group,North St. Vrain low,Wood,mg dry mass m-2,0.98,2.94,< 0.01
Diptera,Diamesinae,Pagastia,North St. Vrain low,Wood,mg dry mass m-2,7.56,13.8,1.85
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain low,Wood,mg dry mass m-2,0.04,0.11,< 0.01
Diptera,Empidiae,Chelifera,North St. Vrain low,Wood,mg dry mass m-2,0.61,1.88,< 0.01
Diptera,Orthocladinae,Brillia,North St. Vrain low,Wood,mg dry mass m-2,74.07,217.16,< 0.01
Diptera,Orthocladinae,Complex II,North St. Vrain low,Wood,mg dry mass m-2,8.45,18.91,1.73
Diptera,Orthocladinae,Heleniella,North St. Vrain low,Wood,mg dry mass m-2,0.89,2.63,< 0.01
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain low,Wood,mg dry mass m-2,0.36,0.99,< 0.01
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain low,Wood,mg dry mass m-2,19.11,25.07,13.45
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain low,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Tvetenia,North St. Vrain low,Wood,mg dry mass m-2,6.8,10.79,3.08
Diptera,Simulidae,Simulidae group,North St. Vrain low,Wood,mg dry mass m-2,5.02,11.77,0.12
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain low,Wood,mg dry mass m-2,0.06,0.17,< 0.01
Diptera,Tanypodinae,Theinemannimyia complex,North St. Vrain low,Wood,mg dry mass m-2,0.81,1.41,0.19
Diptera,Tipulidae,Dicranota,North St. Vrain low,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain low,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Ephemeroptera,Baetidae,Baetis,North St. Vrain low,Wood,mg dry mass m-2,28.66,63.58,4.34
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain low,Wood,mg dry mass m-2,3,7.08,0.34
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain low,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain low,Wood,mg dry mass m-2,0.91,1.89,0.18
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain low,Wood,mg dry mass m-2,0.02,0.06,< 0.01
Oligochaeta,N/A,Oligochaeta,North St. Vrain low,Wood,mg dry mass m-2,0.19,0.34,0.07
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain low,Wood,mg dry mass m-2,27.5,53.77,3.71
Plecoptera,Leuctridae,Perlomyia,North St. Vrain low,Wood,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Plecoptera,N/A,Plecoptera group,North St. Vrain low,Wood,mg dry mass m-2,6.55,14.82,1.21
Plecoptera,Nemouridae,Zapada,North St. Vrain low,Wood,mg dry mass m-2,19.38,31.04,10.85
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain low,Wood,mg dry mass m-2,8.34,25.42,< 0.01
Tricoptera,N/A,Tricoptera group,North St. Vrain low,Wood,mg dry mass m-2,0.14,0.4,< 0.01
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain low,Wood,mg dry mass m-2,21.09,34.51,8.44
Arachnida ,N/A,Arachnida ,South Fork Pourde,Pool,mg dry mass m-2,0.02,0.04,0.01
Coleoptera,Elmidae,Heterlimnius,South Fork Pourde,Pool,mg dry mass m-2,71.18,135.55,10.24
Coleoptera,Elmidae,Narpus,South Fork Pourde,Pool,mg dry mass m-2,33.76,66.81,< 0.01
Copepoda,N/A,Harpacticoida/Cyclopoida group,South Fork Pourde,Pool,mg dry mass m-2,1.01,1.86,0.26
Diptera,Ceratopogonidae,Ceratopogonidae,South Fork Pourde,Pool,mg dry mass m-2,3.12,6.17,0.71
Diptera,Chironomidae,Chironomidae group 1,South Fork Pourde,Pool,mg dry mass m-2,71.53,112.17,34.47
Diptera,Chironominae,Chironominae group,South Fork Pourde,Pool,mg dry mass m-2,32,55.16,13.76
Diptera,Chironominae,Microspectra,South Fork Pourde,Pool,mg dry mass m-2,29.47,47.9,13.15
Diptera,Chironominae,Paratendipes,South Fork Pourde,Pool,mg dry mass m-2,664.72,1458.69,39.48
Diptera,Chironominae,Phaenospectra,South Fork Pourde,Pool,mg dry mass m-2,22.84,48.11,4
Diptera,Chironominae,Polypedilum,South Fork Pourde,Pool,mg dry mass m-2,546.51,886.63,266.6
Diptera,Diamesinae,Pagastia,South Fork Pourde,Pool,mg dry mass m-2,0.05,0.11,0.01
Diptera,Empidiae,Chelifera,South Fork Pourde,Pool,mg dry mass m-2,10.04,21.33,1.92
Diptera,N/A,Diamesinae/Prodiamesinae group,South Fork Pourde,Pool,mg dry mass m-2,83.78,127.67,39.44
Diptera,N/A,Diptera group,South Fork Pourde,Pool,mg dry mass m-2,27.92,49.63,9.93
Diptera,Orthocladinae,Complex II,South Fork Pourde,Pool,mg dry mass m-2,39.33,94.71,3.45
Diptera,Orthocladinae,Eukiefferiella,South Fork Pourde,Pool,mg dry mass m-2,0.08,0.25,< 0.01
Diptera,Orthocladinae,Heleniella,South Fork Pourde,Pool,mg dry mass m-2,2.53,4.72,0.7
Diptera,Orthocladinae,Orthocladinae group,South Fork Pourde,Pool,mg dry mass m-2,74.57,127.69,29.37
Diptera,Orthocladinae,Rheocricotopus,South Fork Pourde,Pool,mg dry mass m-2,24.01,38.46,11.69
Diptera,Simulidae,Simulium,South Fork Pourde,Pool,mg dry mass m-2,3.46,10.02,< 0.01
Diptera,Tanypodinae,Tanypodinae group,South Fork Pourde,Pool,mg dry mass m-2,18.33,32.61,8.03
Diptera,Tanypodinae,Theinemannimyia complex,South Fork Pourde,Pool,mg dry mass m-2,84.51,118.22,51.87
Diptera,Tipulidae,Dicranota,South Fork Pourde,Pool,mg dry mass m-2,6.26,11.4,1.74
Diptera,Tipulidae,Hexatoma,South Fork Pourde,Pool,mg dry mass m-2,177.68,255.65,102.72
Diptera,Tipulidae,Tipulidae group,South Fork Pourde,Pool,mg dry mass m-2,60.55,141.63,10.03
Ephemeroptera,Baetidae,Baetidae group,South Fork Pourde,Pool,mg dry mass m-2,7.76,16.85,1.74
Ephemeroptera,Ephemerellidae,Drunella,South Fork Pourde,Pool,mg dry mass m-2,1.51,4.67,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,South Fork Pourde,Pool,mg dry mass m-2,5.63,17.1,< 0.01
Isopoda,Asellidae,Asellus,South Fork Pourde,Pool,mg dry mass m-2,1.26,2.46,< 0.01
Mollusca,Gastropoda,Gastropoda,South Fork Pourde,Pool,mg dry mass m-2,1.72,5.15,< 0.01
Mollusca,Sphaeriidae,Sphaeriidae,South Fork Pourde,Pool,mg dry mass m-2,258.1,493.42,104.83
Oligochaeta,N/A,Oligochaeta,South Fork Pourde,Pool,mg dry mass m-2,35.11,74.89,6.91
Ostracoda,N/A,Ostracoda,South Fork Pourde,Pool,mg dry mass m-2,108.01,199.18,36.5
Plecoptera,Chloroperlidae,Swelsta,South Fork Pourde,Pool,mg dry mass m-2,60.85,156.66,6.4
Plecoptera,N/A,Plecoptera group,South Fork Pourde,Pool,mg dry mass m-2,2.74,5.05,0.71
Tricoptera,Apataniidae,Allomyia,South Fork Pourde,Pool,mg dry mass m-2,0.02,0.06,< 0.01
Tricoptera,Brachycentridae,Brachycentrus,South Fork Pourde,Pool,mg dry mass m-2,3.19,5.31,1.25
Tricoptera,Glossosomatidae,Glossosoma,South Fork Pourde,Pool,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Tricoptera,Lepidostomatidae,Lepidostoma,South Fork Pourde,Pool,mg dry mass m-2,91.66,149.99,39.73
Tricoptera,N/A,Tricoptera group,South Fork Pourde,Pool,mg dry mass m-2,40.13,96.71,6.05
Tricoptera,Rhyacophilidae,Rhyacophila,South Fork Pourde,Pool,mg dry mass m-2,0.28,0.83,< 0.01
Arachnida ,N/A,Arachnida ,South Fork Pourde,Riffle,mg dry mass m-2,0.02,0.03,0.01
Coleoptera,Elmidae,Heterlimnius,South Fork Pourde,Riffle,mg dry mass m-2,60.73,90.22,32.27
Coleoptera,Elmidae,Narpus,South Fork Pourde,Riffle,mg dry mass m-2,17.84,35.84,0.25
Copepoda,N/A,Harpacticoida/Cyclopoida group,South Fork Pourde,Riffle,mg dry mass m-2,0.31,0.51,0.12
Diptera,Ceratopogonidae,Ceratopogonidae,South Fork Pourde,Riffle,mg dry mass m-2,2.15,4.69,0.26
Diptera,Chironomidae,Chironomidae group 1,South Fork Pourde,Riffle,mg dry mass m-2,3.16,3.79,2.54
Diptera,Chironomidae,Chironomidae group 2,South Fork Pourde,Riffle,mg dry mass m-2,13.47,26.23,1.36
Diptera,Chironominae,Chironominae group,South Fork Pourde,Riffle,mg dry mass m-2,1.22,1.74,0.73
Diptera,Chironominae,Microspectra,South Fork Pourde,Riffle,mg dry mass m-2,2.3,3.92,1.15
Diptera,Chironominae,Paratendipes,South Fork Pourde,Riffle,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Chironominae,Phaenospectra,South Fork Pourde,Riffle,mg dry mass m-2,< 0.01,< 0.01,< 0.01
Diptera,Chironominae,Polypedilum,South Fork Pourde,Riffle,mg dry mass m-2,12.8,25.33,3
Diptera,Diamesinae,Pagastia,South Fork Pourde,Riffle,mg dry mass m-2,27.65,34.77,20.86
Diptera,Dixidae,Dixa,South Fork Pourde,Riffle,mg dry mass m-2,0.01,0.04,< 0.01
Diptera,Empidiae,Chelifera,South Fork Pourde,Riffle,mg dry mass m-2,25.8,45.91,10.18
Diptera,Empidiae,Empididae group,South Fork Pourde,Riffle,mg dry mass m-2,0.74,2.04,< 0.01
Diptera,N/A,Diptera group,South Fork Pourde,Riffle,mg dry mass m-2,0.22,0.51,0.02
Diptera,Orthocladinae,Complex II,South Fork Pourde,Riffle,mg dry mass m-2,33.25,44.08,24
Diptera,Orthocladinae,Eukiefferiella,South Fork Pourde,Riffle,mg dry mass m-2,7.4,16.63,2.18
Diptera,Orthocladinae,Heleniella,South Fork Pourde,Riffle,mg dry mass m-2,5.13,7.58,2.61
Diptera,Orthocladinae,Orthocladinae group,South Fork Pourde,Riffle,mg dry mass m-2,35.42,57.56,17.58
Diptera,Orthocladinae,Rheocricotopus,South Fork Pourde,Riffle,mg dry mass m-2,1.59,2.27,0.87
Diptera,Simulidae,Simulium,South Fork Pourde,Riffle,mg dry mass m-2,91.43,176.18,19.94
Diptera,Tanypodinae,Tanypodinae group,South Fork Pourde,Riffle,mg dry mass m-2,1.4,3.21,0.23
Diptera,Tanypodinae,Theinemannimyia complex,South Fork Pourde,Riffle,mg dry mass m-2,23.14,35.65,10.95
Diptera,Tipulidae,Dicranota,South Fork Pourde,Riffle,mg dry mass m-2,10.71,15.85,6.02
Diptera,Tipulidae,Hexatoma,South Fork Pourde,Riffle,mg dry mass m-2,11.28,23.46,1.73
Diptera,Tipulidae,Tipulidae group,South Fork Pourde,Riffle,mg dry mass m-2,58.6,93.26,29.55
Ephemeroptera,Baetidae,Baetidae group,South Fork Pourde,Riffle,mg dry mass m-2,76.97,112.15,41.3
Ephemeroptera,Ephemerellidae,Drunella,South Fork Pourde,Riffle,mg dry mass m-2,80.47,141.74,23.85
Ephemeroptera,N/A,Ephemeroptera group,South Fork Pourde,Riffle,mg dry mass m-2,45.16,60.61,30.27
Mollusca,Sphaeriidae,Sphaeriidae,South Fork Pourde,Riffle,mg dry mass m-2,1.64,3.51,0.23
Oligochaeta,N/A,Oligochaeta,South Fork Pourde,Riffle,mg dry mass m-2,2.91,5.44,0.61
Ostracoda,N/A,Ostracoda,South Fork Pourde,Riffle,mg dry mass m-2,0.4,0.79,< 0.01
Plecoptera,Chloroperlidae,Swelsta,South Fork Pourde,Riffle,mg dry mass m-2,16.22,25.4,8.93
Plecoptera,N/A,Plecoptera group,South Fork Pourde,Riffle,mg dry mass m-2,230.76,387.36,79.53
Tricoptera,Apataniidae,Allomyia,South Fork Pourde,Riffle,mg dry mass m-2,3.98,6.54,1.96
Tricoptera,Brachycentridae,Brachycentrus,South Fork Pourde,Riffle,mg dry mass m-2,114.37,164.1,67.23
Tricoptera,Glossosomatidae,Glossosoma,South Fork Pourde,Riffle,mg dry mass m-2,10.1,16.94,3.35
Tricoptera,Lepidostomatidae,Lepidostoma,South Fork Pourde,Riffle,mg dry mass m-2,10.19,21.97,1.4
Tricoptera,N/A,Tricoptera group,South Fork Pourde,Riffle,mg dry mass m-2,119.97,267.71,26.89
Tricoptera,Rhyacophilidae,Rhyacophila,South Fork Pourde,Riffle,mg dry mass m-2,12.81,25.81,3.11
