Supplemental table S6,,,,,,,,
,,,,,,,,
Highest classification,Lowest classification,Site,Date,Habitat,Units,Mean,Standard deviation,# replicates
Diptera,Empididae,North St. Vrain confine,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.06,0.08,4
Diptera,Simuliidae,North St. Vrain confine,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.05,0.04,4
Diptera,Tipulidae,North St. Vrain confine,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.18,0.37,4
Ephemeroptera,Ameletidae,North St. Vrain confine,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.06,0.11,4
Ephemeroptera,Baetidae,North St. Vrain confine,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.46,0.31,4
Ephemeroptera,Heptageniidae,North St. Vrain confine,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.18,0.23,4
Plecoptera,Chloroperlidae,North St. Vrain confine,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.19,0.38,4
Plecoptera,Perlidae,North St. Vrain confine,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,1.88,3.76,4
Trichoptera,Hydroptilidae,North St. Vrain confine,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.14,0.14,4
Trichoptera,Limnephelidae,North St. Vrain confine,18-Jul-2013,Riffle,mg dry mass m-2 hr-1,0.07,0.13,4
Diptera,Chironomidae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.7,0.23,4
Diptera,Empididae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.74,0.88,4
Diptera,Simuliidae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.29,0.3,4
Diptera,Tipulidae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.03,0.06,4
Ephemeroptera,Heptageniidae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.32,0.63,4
Plecoptera,Chloroperlidae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.17,0.35,4
Plecoptera,Nemouridae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.15,0.29,4
Plecoptera,Perlodidae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.17,0.35,4
Trichoptera,Brachycentridae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.01,0.02,4
Trichoptera,Hydropsychidae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.62,1.25,4
Trichoptera,Limnephelidae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,0.03,0.07,4
Trichoptera,Rhyacophilidae,North St. Vrain confine,9-Aug-2013,Riffle,mg dry mass m-2 hr-1,1.3,1.22,4
Diptera,Chironomidae,North St. Vrain confine,4-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.18,0.16,4
Diptera,Phoridae,North St. Vrain confine,4-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.01,0.01,4
Diptera,Tipulidae,North St. Vrain confine,4-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.03,0.05,4
Ephemeroptera,Baetidae,North St. Vrain confine,4-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.29,0.58,4
Ephemeroptera,Ephemeroptera group,North St. Vrain confine,4-Sep-2013,Riffle,mg dry mass m-2 hr-1,0.03,0.06,4
