Supplemental table S5,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Diptera,Empidiae,Empididae group,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.08,0.14,0.03
Diptera,N/A,Diamesinae/Prodiamesinae group,Glacier Creek,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Brillia,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.01,0.04,< 0.01
Diptera,Orthocladinae,Heterotrissocladius,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.07,0.15,< 0.01
Diptera,Orthocladinae,Krenosmittia,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.19,0.44,0.03
Diptera,Orthocladinae,Orthocladinae group,Glacier Creek,Riffle,mg dry mass m-2 d-1,3.89,5.49,2.3
Diptera,Orthocladinae,Theinemanniella,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.31,0.53,0.11
Diptera,Psychodidae,Pericoma,Glacier Creek,Riffle,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Diptera,Simulidae,Simulidae group,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.06,0.17,< 0.01
Diptera,Tanypodinae,Tanypodinae group,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.04,0.11,< 0.01
Diptera,Tanypodinae,Theinemannimyia complex,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.78,1.61,0.22
Diptera,Tipulidae,Tipulidae group,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.34,0.87,0.03
Ephemeroptera,Ameletidae,Ameletus,Glacier Creek,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,Baetidae,Baetis,Glacier Creek,Riffle,mg dry mass m-2 d-1,1.63,3.66,0.49
Ephemeroptera,Ephemerellidae,Drunella,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.38,1.04,0.04
Ephemeroptera,N/A,Ephemeroptera group,Glacier Creek,Riffle,mg dry mass m-2 d-1,2.65,3.7,1.85
Mollusca,Sphaeriidae,Sphaeriidae,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.06,0.1,0.03
Oligochaeta,N/A,Oligochaeta,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.98,1.8,0.33
Ostracoda,N/A,Ostracoda,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.16,0.38,0.03
Plecoptera,Chloroperlidae,Suwallia,Glacier Creek,Riffle,mg dry mass m-2 d-1,1.67,3.58,0.49
Plecoptera,Chloroperlidae,Swelsta,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.74,1.38,0.27
Plecoptera,N/A,Plecoptera group,Glacier Creek,Riffle,mg dry mass m-2 d-1,5.99,13.07,1.46
Plecoptera,Nemouridae,Zapada,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.08,0.15,0.02
Tricoptera,Hydropsychidae,Arctopsyche,Glacier Creek,Riffle,mg dry mass m-2 d-1,4.22,8.76,1.1
Tricoptera,N/A,Tricoptera group,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.24,0.55,0.05
Tricoptera,Rhyacophilidae,Rhyacophila,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.17,0.27,0.08
Coleoptera,Elmidae,Heterlimnius,Glacier Creek,Wood,mg dry mass m-2 d-1,0.02,0.05,< 0.01
Diptera,Ceratopogonidae,Ceratopogonidae,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Chironomidae,Chironomidae group 1,Glacier Creek,Wood,mg dry mass m-2 d-1,0.04,0.07,0.02
Diptera,Chironominae,Chironominae group,Glacier Creek,Wood,mg dry mass m-2 d-1,0.03,0.07,< 0.01
Diptera,Chironominae,Paratendipes,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Chironominae,Polypedilum,Glacier Creek,Wood,mg dry mass m-2 d-1,0.02,0.05,0.01
Diptera,Chironominae,Stempellinella,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Diamesinae,Diamesia,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Diamesinae,Pagastia,Glacier Creek,Wood,mg dry mass m-2 d-1,0.67,1.89,0.05
Diptera,Empidiae,Empididae group,Glacier Creek,Wood,mg dry mass m-2 d-1,0.04,0.06,0.01
Diptera,N/A,Diamesinae/Prodiamesinae group,Glacier Creek,Wood,mg dry mass m-2 d-1,0.04,0.1,0.01
Diptera,Orthocladinae,Brillia,Glacier Creek,Wood,mg dry mass m-2 d-1,0.02,0.05,< 0.01
Diptera,Orthocladinae,Heterotrissocladius,Glacier Creek,Wood,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Diptera,Orthocladinae,Krenosmittia,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Orthocladinae group,Glacier Creek,Wood,mg dry mass m-2 d-1,2.81,5.69,1.03
Diptera,Orthocladinae,Theinemanniella,Glacier Creek,Wood,mg dry mass m-2 d-1,0.31,0.74,0.03
Diptera,Simulidae,Simulidae group,Glacier Creek,Wood,mg dry mass m-2 d-1,0.04,0.08,0.01
Diptera,Tanypodinae,Tanypodinae group,Glacier Creek,Wood,mg dry mass m-2 d-1,0.02,0.06,< 0.01
Diptera,Tanypodinae,Theinemannimyia complex,Glacier Creek,Wood,mg dry mass m-2 d-1,0.1,0.22,< 0.01
Ephemeroptera,Ameletidae,Ameletus,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,Baetidae,Baetis,Glacier Creek,Wood,mg dry mass m-2 d-1,0.06,0.15,0.01
Ephemeroptera,Ephemerellidae,Drunella,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,Glacier Creek,Wood,mg dry mass m-2 d-1,0.02,0.04,< 0.01
Mollusca,Sphaeriidae,Sphaeriidae,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Oligochaeta,N/A,Oligochaeta,Glacier Creek,Wood,mg dry mass m-2 d-1,0.02,0.06,< 0.01
Ostracoda,N/A,Ostracoda,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Plecoptera,Chloroperlidae,Suwallia,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Plecoptera,Chloroperlidae,Swelsta,Glacier Creek,Wood,mg dry mass m-2 d-1,0.01,0.05,< 0.01
Plecoptera,N/A,Plecoptera group,Glacier Creek,Wood,mg dry mass m-2 d-1,5.35,14.1,< 0.01
Plecoptera,Nemouridae,Zapada,Glacier Creek,Wood,mg dry mass m-2 d-1,0.04,0.09,< 0.01
Tricoptera,Hydropsychidae,Arctopsyche,Glacier Creek,Wood,mg dry mass m-2 d-1,2.9,9.65,< 0.01
Tricoptera,N/A,Tricoptera group,Glacier Creek,Wood,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Tricoptera,Rhyacophilidae,Rhyacophila,Glacier Creek,Wood,mg dry mass m-2 d-1,0.04,0.09,< 0.01
Arachnida ,N/A,Arachnida ,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,1.81,3.66,0.63
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.1,0.26,< 0.01
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.05,0.13,0.01
Diptera,Chironominae,Chironominae group,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.4,0.79,0.12
Diptera,Chironominae,Stempellinella,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.03,0.05,0.01
Diptera,Diamesinae,Diamesinae group,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.09,0.15,0.04
Diptera,Diamesinae,Pagastia,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.11,0.19,0.05
Diptera,Empidiae,Empididae group,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.15,0.34,0.03
Diptera,Empidiae,Hemerodromia,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.18,0.41,0.03
Diptera,Orthocladinae,Brillia,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.61,1.15,0.22
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,1.79,2.94,0.98
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.19,0.38,0.03
Diptera,Orthocladinae,Paraorthocladius,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.04,0.07,0.01
Diptera,Orthocladinae,Rheocricotopus,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.93,1.98,0.25
Diptera,Simulidae,Simulidae group,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.04,0.1,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.02,0.07,< 0.01
Diptera,Tipulidae,Dicranota,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.29,0.49,0.11
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.04,0.13,< 0.01
Ephemeroptera,Baetidae,Baetis,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,1.48,1.99,1.02
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.57,1.16,0.18
Ephemeroptera,Heptageniidae,Cinygmula,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,2.83,4.87,1.15
Ephemeroptera,Heptageniidae,Epeorus,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,2.2,6.25,0.1
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,3.9,5.93,2.07
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.4,0.89,0.07
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.06,0.09,0.04
Oligochaeta,N/A,Oligochaeta,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.94,1.75,0.3
Ostracoda,N/A,Ostracoda,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.28,0.53,0.1
Plecoptera,Capniidae,Utacapnia,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.25,0.47,0.07
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.95,1.42,0.54
Plecoptera,Leuctridae,Perlomyia,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.52,0.68,0.36
Plecoptera,N/A,Plecoptera group,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,2.27,5,0.63
Plecoptera,Nemouridae,Zapada,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.07,0.14,0.02
Tricoptera,Brachycentridae,Micrasema,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,< 0.01,0.02,< 0.01
Tricoptera,Glossosomatidae,Glossosoma,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.22,0.46,0.05
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,3.86,7.9,0.73
Tricoptera,N/A,Tricoptera group,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.1,0.2,0.01
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain confine,Riffle,mg dry mass m-2 d-1,0.68,1.14,0.26
Arachnida ,N/A,Arachnida ,North St. Vrain high,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain high,Pool,mg dry mass m-2 d-1,9.05,17.89,3.11
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.06,0.1,0.02
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.14,0.37,0.01
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.6,1.3,0.19
Diptera,Chironominae,Chironominae group,North St. Vrain high,Pool,mg dry mass m-2 d-1,5.72,9.3,2.61
Diptera,Chironominae,Polypedilum,North St. Vrain high,Pool,mg dry mass m-2 d-1,2.95,5.47,0.83
Diptera,Chironominae,Stempellinella,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.51,1.41,0.03
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain high,Pool,mg dry mass m-2 d-1,5.17,11.59,1.49
Diptera,Empidiae,Chelifera,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.26,0.75,0.01
Diptera,Empidiae,Empididae group,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.02,0.04,< 0.01
Diptera,N/A,Diamesinae/Prodiamesinae group,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.22,0.44,0.06
Diptera,N/A,Dixidae/Sciaridae group,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.02,0.07,< 0.01
Diptera,Orthocladinae,Brillia,North St. Vrain high,Pool,mg dry mass m-2 d-1,8.35,22.12,0.68
Diptera,Orthocladinae,Corynoneura,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.11,0.21,0.01
Diptera,Orthocladinae,Eukiefferiella,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.05,0.1,0.01
Diptera,Orthocladinae,Heleniella,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.77,1.49,0.21
Diptera,Orthocladinae,Heterotrissocladius,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.58,1,0.21
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain high,Pool,mg dry mass m-2 d-1,19.6,34.5,3.59
Diptera,Orthocladinae,Krenosmittia,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.06,0.12,0.02
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain high,Pool,mg dry mass m-2 d-1,6.08,9.52,3.64
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.29,0.8,0.02
Diptera,Orthocladinae,Paraorthocladius,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.02,0.05,< 0.01
Diptera,Tanypodinae,Macropelopia,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.62,1.3,0.12
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.6,1.06,0.21
Diptera,Tipulidae,Dicranota,North St. Vrain high,Pool,mg dry mass m-2 d-1,2.33,5.38,0.55
Diptera,Tipulidae,Tipulidae group,North St. Vrain high,Pool,mg dry mass m-2 d-1,2.85,5.01,1.12
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.38,0.73,0.14
Ephemeroptera,Baetidae,Baetis,North St. Vrain high,Pool,mg dry mass m-2 d-1,1.01,3.32,0.02
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.1,0.15,0.05
Ephemeroptera,Heptageniidae,Cinygmula,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.05,0.17,< 0.01
Ephemeroptera,Heptageniidae,Rhithrogena,North St. Vrain high,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.35,0.66,0.05
Mollusca,Sphaeriidae,Sphaeriidae,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.99,1.88,0.29
Oligochaeta,N/A,Oligochaeta,North St. Vrain high,Pool,mg dry mass m-2 d-1,4.17,7.47,1.55
Ostracoda,N/A,Ostracoda,North St. Vrain high,Pool,mg dry mass m-2 d-1,6.45,9.52,3.77
Plecoptera,Capniidae,Utacapnia,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.1,0.2,0.03
Plecoptera,Chloroperlidae,Swelsta,North St. Vrain high,Pool,mg dry mass m-2 d-1,3.16,5.79,1.32
Plecoptera,Leuctridae,Perlomyia,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.03,0.07,< 0.01
Plecoptera,N/A,Plecoptera group,North St. Vrain high,Pool,mg dry mass m-2 d-1,1.94,3.06,1.02
Plecoptera,Nemouridae,Zapada,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.56,1.11,0.16
Plecoptera,Perlidae,Hersperoperla,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.34,0.81,< 0.01
Tricoptera,Brachycentridae,Micrasema,North St. Vrain high,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Tricoptera,Glossosomatidae,Glossosoma,North St. Vrain high,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Tricoptera,Hydropsychidae,Arctopsyche,North St. Vrain high,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Tricoptera,N/A,Tricoptera group,North St. Vrain high,Pool,mg dry mass m-2 d-1,3.85,6.95,1.33
Tricoptera,Rhyacophilidae,Rhyacophila,North St. Vrain high,Pool,mg dry mass m-2 d-1,0.04,0.11,< 0.01
Arachnida ,N/A,Arachnida ,North St. Vrain high,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,North St. Vrain high,Riffle,mg dry mass m-2 d-1,3.99,5.47,2.55
Copepoda,N/A,Harpacticoida/Cyclopoida group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.03,0.03,0.02
Diptera,Ceratopogonidae,Ceratopogonidae,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.2,0.48,0.01
Diptera,Chironomidae,Chironomidae group 1,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.11,0.16,0.07
Diptera,Chironominae,Chironominae group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,1.3,2.85,0.41
Diptera,Chironominae,Polypedilum,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Diptera,Chironominae,Stempellinella,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.01,0.03,< 0.01
Diptera,Diamesinae,Pseudodiamesa,North St. Vrain high,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Empidiae,Chelifera,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.13,0.26,0.04
Diptera,Empidiae,Empididae group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.25,0.57,0.04
Diptera,N/A,Diamesinae/Prodiamesinae group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.22,0.35,0.1
Diptera,N/A,Dixidae/Sciaridae group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Brillia,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.34,0.73,0.09
Diptera,Orthocladinae,Corynoneura,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.08,0.19,0.01
Diptera,Orthocladinae,Eukiefferiella,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.23,0.53,0.06
Diptera,Orthocladinae,Heleniella,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.17,0.25,0.1
Diptera,Orthocladinae,Heterotrissocladius,North St. Vrain high,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Orthocladinae,Hydrobaenus,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.22,0.52,0.01
Diptera,Orthocladinae,Krenosmittia,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.16,0.26,0.08
Diptera,Orthocladinae,Orthocladinae group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,4.06,7.09,2.02
Diptera,Orthocladinae,Parametriocnemus,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.15,0.35,0.02
Diptera,Orthocladinae,Paraorthocladius,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.15,0.33,0.01
Diptera,Simulidae,Simulidae group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.01,0.03,< 0.01
Diptera,Tanypodinae,Macropelopia,North St. Vrain high,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Tanypodinae,Tanypodinae group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.03,0.06,0.01
Diptera,Tipulidae,Dicranota,North St. Vrain high,Riffle,mg dry mass m-2 d-1,1.23,2.23,0.47
Diptera,Tipulidae,Tipulidae group,North St. Vrain high,Riffle,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Ephemeroptera,Ameletidae,Ameletus,North St. Vrain high,Riffle,mg dry mass m-2 d-1,0.25,0.44,0.1
Ephemeroptera,Baetidae,Baetis,North St. Vrain high,Riffle,mg dry mass m-2 d-1,1.71,2.75,0.84
Ephemeroptera,Ephemerellidae,Drunella,North St. Vrain high,Riffle,mg dry mass m-2 d-1,1.31,1.81,0.86
