Supplemental table S5,,,,,,,,
,,,,,,,,
Highest classification,Middle classification,Lowest classification,Site,Habitat,Units,Mean,Upper 95% confidence interval,Lower 95% confidence interval
Arachnida ,N/A,Arachnida ,Glacier Creek,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,Glacier Creek,Pool,mg dry mass m-2 d-1,7.57,19.74,0.74
Coleoptera,N/A,Coleoptera group,Glacier Creek,Pool,mg dry mass m-2 d-1,0.02,0.05,< 0.01
Copepoda,N/A,Harpacticoida/Cyclopoida group,Glacier Creek,Pool,mg dry mass m-2 d-1,0.02,0.04,< 0.01
Diptera,Ceratopogonidae,Ceratopogonidae,Glacier Creek,Pool,mg dry mass m-2 d-1,0.07,0.16,0.02
Diptera,Chironomidae,Chironomidae group 1,Glacier Creek,Pool,mg dry mass m-2 d-1,0.8,1.64,0.27
Diptera,Chironominae,Chironominae group,Glacier Creek,Pool,mg dry mass m-2 d-1,1.29,2,0.71
Diptera,Chironominae,Paratendipes,Glacier Creek,Pool,mg dry mass m-2 d-1,1.63,4.75,0.01
Diptera,Chironominae,Polypedilum,Glacier Creek,Pool,mg dry mass m-2 d-1,5.55,15.1,0.47
Diptera,Chironominae,Stempellinella,Glacier Creek,Pool,mg dry mass m-2 d-1,0.65,1.85,0.08
Diptera,Diamesinae,Diamesia,Glacier Creek,Pool,mg dry mass m-2 d-1,0.04,0.1,< 0.01
Diptera,Diamesinae,Pagastia,Glacier Creek,Pool,mg dry mass m-2 d-1,0.19,0.36,0.04
Diptera,Empidiae,Empididae group,Glacier Creek,Pool,mg dry mass m-2 d-1,0.47,1.05,0.11
Diptera,N/A,Diamesinae/Prodiamesinae group,Glacier Creek,Pool,mg dry mass m-2 d-1,0.28,0.56,0.07
Diptera,Orthocladinae,Brillia,Glacier Creek,Pool,mg dry mass m-2 d-1,0.4,1.06,0.01
Diptera,Orthocladinae,Heterotrissocladius,Glacier Creek,Pool,mg dry mass m-2 d-1,0.65,1.24,0.11
Diptera,Orthocladinae,Krenosmittia,Glacier Creek,Pool,mg dry mass m-2 d-1,0.17,0.31,0.06
Diptera,Orthocladinae,Orthocladinae group,Glacier Creek,Pool,mg dry mass m-2 d-1,5.95,8.42,3.72
Diptera,Orthocladinae,Theinemanniella,Glacier Creek,Pool,mg dry mass m-2 d-1,0.39,0.69,0.14
Diptera,Simulidae,Simulidae group,Glacier Creek,Pool,mg dry mass m-2 d-1,0.11,0.36,< 0.01
Diptera,Tanypodinae,Tanypodinae group,Glacier Creek,Pool,mg dry mass m-2 d-1,0.92,1.89,0.24
Diptera,Tanypodinae,Theinemannimyia complex,Glacier Creek,Pool,mg dry mass m-2 d-1,0.58,1.06,0.19
Diptera,Tipulidae,Tipulidae group,Glacier Creek,Pool,mg dry mass m-2 d-1,2.47,4.99,0.46
Ephemeroptera,Ameletidae,Ameletus,Glacier Creek,Pool,mg dry mass m-2 d-1,0.26,0.52,0.04
Ephemeroptera,Baetidae,Baetis,Glacier Creek,Pool,mg dry mass m-2 d-1,0.21,0.51,0.03
Ephemeroptera,Ephemerellidae,Drunella,Glacier Creek,Pool,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Ephemeroptera,N/A,Ephemeroptera group,Glacier Creek,Pool,mg dry mass m-2 d-1,0.78,1.35,0.33
Mollusca,Sphaeriidae,Sphaeriidae,Glacier Creek,Pool,mg dry mass m-2 d-1,3.35,6.12,1.16
Oligochaeta,N/A,Oligochaeta,Glacier Creek,Pool,mg dry mass m-2 d-1,3.77,6.74,0.97
Ostracoda,N/A,Ostracoda,Glacier Creek,Pool,mg dry mass m-2 d-1,0.52,0.77,0.28
Plecoptera,Chloroperlidae,Suwallia,Glacier Creek,Pool,mg dry mass m-2 d-1,5.02,12.48,0.75
Plecoptera,Chloroperlidae,Swelsta,Glacier Creek,Pool,mg dry mass m-2 d-1,1.53,3.12,0.27
Plecoptera,N/A,Plecoptera group,Glacier Creek,Pool,mg dry mass m-2 d-1,5.69,15.35,0.28
Plecoptera,Nemouridae,Zapada,Glacier Creek,Pool,mg dry mass m-2 d-1,0.02,0.06,< 0.01
Tricoptera,Hydropsychidae,Arctopsyche,Glacier Creek,Pool,mg dry mass m-2 d-1,5.47,17.42,< 0.01
Tricoptera,N/A,Tricoptera group,Glacier Creek,Pool,mg dry mass m-2 d-1,5.65,10.87,1.2
Tricoptera,Rhyacophilidae,Rhyacophila,Glacier Creek,Pool,mg dry mass m-2 d-1,0.03,0.07,< 0.01
Arachnida ,N/A,Arachnida ,Glacier Creek,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Coleoptera,Elmidae,Heterlimnius,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.43,0.73,0.2
Coleoptera,N/A,Coleoptera group,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.01,0.02,< 0.01
Copepoda,N/A,Harpacticoida/Cyclopoida group,Glacier Creek,Riffle,mg dry mass m-2 d-1,< 0.01,0.01,< 0.01
Diptera,Ceratopogonidae,Ceratopogonidae,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.02,0.06,< 0.01
Diptera,Chironomidae,Chironomidae group 1,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.29,0.5,0.1
Diptera,Chironominae,Chironominae group,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.33,0.57,0.16
Diptera,Chironominae,Paratendipes,Glacier Creek,Riffle,mg dry mass m-2 d-1,< 0.01,< 0.01,< 0.01
Diptera,Chironominae,Polypedilum,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.16,0.34,0.03
Diptera,Chironominae,Stempellinella,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.18,0.49,0.02
Diptera,Diamesinae,Diamesia,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.34,0.74,0.08
Diptera,Diamesinae,Pagastia,Glacier Creek,Riffle,mg dry mass m-2 d-1,0.27,0.47,0.12
